['বাগদাদ', 'মিশর', 'সিরিয়া', 'আনাতোলিয়া', 'মেসোপটেমিয়া', 'পারস্য', 'বুখারা', 'খোরাসান', 'আলেপ্পো', 'বসরা']
['জাকার্তা', 'ইন্দোনেশিয়া', 'সিঙ্গাপুর', 'তানজানিয়া', 'ভেনেজুয়েলা', 'সাংহাই', 'মালয়েশিয়া', 'ব্রুনাই', 'কুয়েত', 'কুয়ালালামপুর']
['কাবুল', 'কান্দাহার', 'হেরাত', 'আলেপ্পো', 'ইস্তানবুল', 'বুখারা', 'গিলগিট', 'ইস্তাম্বুল', 'দামেস্ক', 'মসুল']
['ভেনেজুয়েলা', 'ইকুয়েডর', 'বলিভিয়া', 'পেরু', 'সেনেগাল', 'আলজেরিয়া', 'প্যারাগুয়ে', 'চিলি', 'মোজাম্বিক', 'সার্বিয়া']
['কাঠমান্ডু', 'লেহ', 'জিনজিয়াং', 'কান্দাহার', 'লাহুল', 'কালিকট', 'বুখারা', 'ইজমির', 'গিলগিট', 'মাদুরাই']
['ভেনেজুয়েলা', 'ইকুয়েডর', 'বলিভিয়া', 'পেরু', 'আলজেরিয়া', 'চিলি', 'সেনেগাল', 'সার্বিয়া', 'নাইজেরিয়া', 'ইথিওপিয়া']
['', '', '', '', '', '', '', '', '', '']
['ভেনেজুয়েলা', 'ইকুয়েডর', 'বলিভিয়া', 'পেরু', 'চিলি', 'আলজেরিয়া', 'সেনেগাল', 'নাইজেরিয়া', 'সার্বিয়া', 'কিরগিজস্তান']
['ভেনেজুয়েলা', 'বলিভিয়া', 'চিলি', 'প্যারাগুয়ে', 'ইকুয়েডর', 'বেলিজ', 'ঘানা', 'হন্ডুরাস', 'পেরু', 'ভেনিজুয়েলা']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ভেনেজুয়েলা', 'ইকুয়েডর', 'বলিভিয়া', 'পেরু', 'প্যারাগুয়ে', 'চিলি', 'সেনেগাল', 'নিকারাগুয়া', 'হন্ডুরাস', 'কিউবা']
['ভেনেজুয়েলা', 'লিসবন', 'বলিভিয়া', 'ইকুয়েডর', 'পেরু', 'গুয়াতেমালা', 'পর্তুগাল', 'হাইতি', 'কিউবা', 'ব্রাসেলস']
['', '', '', '', '', '', '', '', '', '']
['লন্ডন', 'প্যারিস', 'আমস্টারডাম', 'এডিনবার্গ', 'ডাবলিন', 'মন্ট্রিল', 'ব্রিস্টল', 'পেনসিলভেনিয়া', 'শিকাগো', 'বার্মিংহাম']
['ভেনেজুয়েলা', 'ইকুয়েডর', 'বলিভিয়া', 'পেরু', 'আলজেরিয়া', 'নাইজেরিয়া', 'সেনেগাল', 'চিলি', 'কিরগিজস্তান', 'মোজাম্বিক']
['', '', '', '', '', '', '', '', '', '']
['মাদ্রিদ', 'বার্সেলোনা', 'রিয়াল', 'মাদ্রিদকে', 'আতলেতিকো', 'এফসি', 'আর্জেন্টিনা', 'মিলান', 'চিলি', 'অ্যাটলেটিকো']
['ভেনেজুয়েলা', 'ইকুয়েডর', 'বলিভিয়া', 'পেরু', 'নিকারাগুয়া', 'চিলি', 'প্যারাগুয়ে', 'সেনেগাল', 'নাইজেরিয়া', 'ঘানা']
['ভেনেজুয়েলা', 'ইকুয়েডর', 'বলিভিয়া', 'পেরু', 'আলজেরিয়া', 'প্যারাগুয়ে', 'ইরিত্রিয়া', 'ঘানা', 'চিলি', 'সেনেগাল']
['ম্যানিলা', 'ভেনেজুয়েলা', 'পেরু', 'ইকুয়েডর', 'গুয়াতেমালা', 'বলিভিয়া', 'চিলি', 'হন্ডুরাস', 'ফিলিপাইন', 'নিকারাগুয়া']
['', '', '', '', '', '', '', '', '', '']
['ভেনিজুয়েলা', 'লিথুয়ানিয়া', 'এস্তোনিয়া', 'ইকুয়েডর', 'হাইতি', 'লাটভিয়া', 'ক্রোয়েশিয়া', 'ফিনল্যান্ড', 'পোল্যান্ড', 'হাঙ্গেরি']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['গিনি', 'ক্যালিডোনিয়া', 'পাপুয়া', 'গিনির', 'গিনিতে', 'মেক্সিকো', 'পলিনেশিয়া', 'ক্যালেডোনিয়া', 'ইকুয়েডর', 'বাহামা']
['গিনি', 'গিনির', 'পাপুয়া', 'ক্যালিডোনিয়া', 'গিনিতে', 'পলিনেশিয়া', 'সামোয়া', 'ক্যামেরুন', 'মেক্সিকো', 'ক্যালেডোনিয়া']
['গিনি', 'সিসিলি', 'আলবেনিয়া', 'হাইতি', 'আলেপ্পো', 'সিরিয়া', 'মেক্সিকো', 'স্পেন', 'ফিলিস্তিন', 'লিবিয়া']
['ঢাকা', 'রাজশাহী', 'চট্টগ্রাম', 'কলকাতা', 'বরিশাল', 'খুলনা', 'সিলেট', 'রংপুর', 'ময়মনসিংহ', 'ইয়াঙ্গুন']
['গিনি', 'পাপুয়া', 'মেক্সিকো', 'ক্যালিডোনিয়া', 'গিনিতে', 'পলিনেশিয়া', 'ফিলিপাইন', 'ইকুয়েডর', 'ভানুয়াতু', 'হাইতি']
['গিনি', 'পাপুয়া', 'ক্যালিডোনিয়া', 'গিনিতে', 'মেক্সিকো', 'গিনির', 'ক্যালেডোনিয়া', 'পলিনেশিয়া', 'বাহামা', 'ক্যামেরুন']
['গিনি', 'পাপুয়া', 'গিনির', 'গিনিতে', 'ক্যালিডোনিয়া', 'পলিনেশিয়া', 'মেক্সিকো', 'ক্যালেডোনিয়া', 'ইকুয়েডর', 'ক্যামেরুন']
['গিনি', 'পাপুয়া', 'গিনির', 'গিনিতে', 'ক্যালিডোনিয়া', 'পলিনেশিয়া', 'ক্যালেডোনিয়া', 'মেক্সিকো', 'সামোয়া', 'ক্যামেরুন']
['', '', '', '', '', '', '', '', '', '']
['গিনি', 'পাপুয়া', 'ক্যালিডোনিয়া', 'গিনিতে', 'মেক্সিকো', 'গিনির', 'ক্যালেডোনিয়া', 'পলিনেশিয়া', 'ভানুয়াতু', 'বাহামা']
['গিনি', 'পাপুয়া', 'গিনির', 'মেক্সিকো', 'ক্যালিডোনিয়া', 'গিনিতে', 'পলিনেশিয়া', 'হাইতি', 'ইকুয়েডর', 'ক্যালেডোনিয়া']
['গিনি', 'পাপুয়া', 'গিনির', 'ক্যালিডোনিয়া', 'গিনিতে', 'ভানুয়াতু', 'ক্যালেডোনিয়া', 'মেক্সিকো', 'পলিনেশিয়া', 'ইকুয়েডর']
['গিনি', 'ক্যালিডোনিয়া', 'পাপুয়া', 'গিনিতে', 'মেক্সিকো', 'পলিনেশিয়া', 'গিনির', 'ক্যালেডোনিয়া', 'ইকুয়েডর', 'বলিভিয়া']
['গিনি', 'পাপুয়া', 'গিনির', 'ক্যালিডোনিয়া', 'গিনিতে', 'মেক্সিকো', 'পলিনেশিয়া', 'ক্যালেডোনিয়া', 'ক্যামেরুন', 'ইকুয়েডর']
['গিনি', 'পাপুয়া', 'মেক্সিকো', 'তানজানিয়া', 'ফিলিপাইন', 'তাইওয়ান', 'হাইতি', 'ভানুয়াতু', 'কেনিয়া', 'গিনিতে']
['গিনি', 'পাপুয়া', 'মেক্সিকো', 'জাকার্তা', 'গিনির', 'গিনিতে', 'তানজানিয়া', 'সুমাত্রা', 'ফিলিপাইন', 'ইন্দোনেশিয়া']
['গিনি', 'সিসিলি', 'গিনিতে', 'মেক্সিকো', 'পাপুয়া', 'কাবুল', 'আলেপ্পো', 'সুমাত্রা', 'মঙ্গোলিয়া', 'আলবেনিয়া']
['গিনি', 'পাপুয়া', 'গিনির', 'গিনিতে', 'ক্যালিডোনিয়া', 'পলিনেশিয়া', 'মেক্সিকো', 'ক্যালেডোনিয়া', 'ইকুয়েডর', 'সামোয়া']
['গিনি', 'মেক্সিকো', 'মঙ্গোলিয়া', 'সুমাত্রা', 'পাপুয়া', 'গিনিতে', 'সিসিলি', 'পলিনেশিয়া', 'ভানুয়াতু', 'মালাক্কা']
