['ব্র্গ্যাদ', 'গারুদা', 'বাগদাদ', 'বাগদা', 'ব্রিগ', 'গ্রিড', 'ব্রাগা', 'গড়াইয়া', 'গ্রিডের', 'গজরাজ']
['লেবানন', 'লেবাননের', 'লেবাননী', 'লেবাননকে', 'লেবাননে', 'কাঠমান্ডু', 'লেম্যানও', 'লেম্যানের', 'লেবানীয়', 'লেম্যান']
['লেবানন', 'লেবাননী', 'লেবাননের', 'লেবাননকে', 'লেবাননে', 'লেবানীয়', 'লেবানিয়', 'লেবানিজ', 'লেমন', 'লম্ফন']
['কিয়েভান', 'লেভিয়েভা', 'লেবানন', 'লেভিন', 'কিয়েভের', 'লেভেন', 'কিয়েভ', 'কিয়েভে', 'লেবাননকে', 'লেবাননে']
['কিগালি', 'লেবানন', 'কালিয়ানি', 'কাঙ্গালিনী', 'কেলভিনে', 'কলম্বিয়া', 'লেগিয়া', 'গ্যালিয়ানি', 'লিগনিন', 'কিলিকিয়া']
['লেক্সিংটন', 'কেন্সিংটন', 'কিংস্টন', 'কিংস্টনের', 'কিংস্টনে', 'লেবানন', 'কিংসটন', 'কস্টিগান', 'লেগুনাস্ট্যান্ড', 'কিংস্টোন']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['সার্বিয়া', 'সার্বিয়া', 'সার্বিয়াকে', 'সার্বিয়ান', 'সার্বিয়াকে', 'সার্বিয়ার', 'সার্বিয়ান', 'সার্বিয়ায়', 'সার্বিয়', 'সার্বিয়ার']
['সার্বিয়া', 'সার্বিয়া', 'সার্বিয়ান', 'সার্বিয়ান', 'সার্বিয়ার', 'সার্বিয়', 'সার্বিয়াকে', 'সার্বিয়াকে', 'সার্বিয়ার', 'সার্বিয়ায়']
['সইকিয়া', 'সাভিৎস্কি', 'বিশকেক', 'সার্বিয়া', 'সার্বিয়া', 'সাভিচ', 'সার্বিয়', 'সার্বিয়াকে', 'সার্বিয়াকে', 'সার্বিয়ার']
['সার্বিয়া', 'সার্বিয়া', 'সারাভিয়া', 'সার্বিয়ার', 'সার্বিয়াকে', 'সার্বিয়াকে', 'সারাভাইয়া', 'সার্বিয়ার', 'সার্বিয়ায়', 'সার্বিয়']
['সার্বিয়া', 'সার্বিয়া', 'সার্বিয়ার', 'সার্বিয়ার', 'সার্বিয়াকে', 'সার্বিয়াকে', 'সার্বিয়ান', 'সার্বিয়', 'সার্বিয়ান', 'সার্বিয়ায়']
['সার্বিয়া', 'সার্বিয়া', 'সার্বিয়ার', 'সার্বিয়ার', 'সার্বিয়াকে', 'সার্বিয়াকে', 'সার্বিয়', 'সার্বিয়ান', 'সার্বিয়ান', 'সরস্বতী']
['শাবিস্তান', 'সার্বিয়া', 'সার্বিয়া', 'তাসপিয়া', 'সুপ্পিসি', 'সার্বিয়ার', 'সিবাস্টিন', 'সেবাস্টিয়ান', 'সুবাইয়া', 'সার্বিয়াকে']
['', '', '', '', '', '', '', '', '', '']
['সিরিয়াকে', 'সিরিয়া', 'কোরিয়াও', 'কোরিয়াকে', 'কায়রো', 'কারিয়া', 'সিরিয়া', 'সিরিয়ার', 'কোরিয়া', 'কোরিয়াকে']
['সার্বিয়া', 'সার্বিয়া', 'চৌবেরিয়া', 'ক্যানবেরা', 'সার্বিয়ার', 'ক্যারিবীয়রা', 'কাভানিরা', 'কাম্পানিয়া', 'সার্বিয়াকে', 'ক্যারিবীয়ান']
['কারকাস', 'সাকারিয়া', 'কারাকাস', 'ক্যারিয়াসের', 'কারিয়াসের', 'কারাকাসের', 'ক্যাশিয়ার', 'সরিস্কিয়া', 'কারিয়াস', 'কারসাজি']
['', '', '', '', '', '', '', '', '', '']
['কোরিয়া', 'কোরিয়ার', 'কোরিয়া', 'সার্বিয়া', 'কর্নিয়া', 'কোরিয়াকে', 'সার্বিয়া', 'কোরিয়ার', 'সাকারিয়া', 'কর্নিয়া']
['সার্বিয়া', 'কোপারনিকান', 'সার্বিয়া', 'কাম্পানিয়া', 'সোবিয়ানিন', 'কোপেনহেগেনের', 'কোপেনের', 'সোপিয়ান', 'কাস্পিয়ান', 'কোপেনহেগেন']
['সার্বিয়া', 'সার্বিয়া', 'সার্বিয়াকে', 'সার্বিয়াকে', 'সার্বিয়ান', 'সার্বিয়ান', 'সার্বিয়ার', 'ডাকার', 'সার্বিয়', 'সার্বিয়ার']
['দামেস্ক', 'দামেস্কে', 'সরিস্কিয়া', 'দামেস্ককে', 'সিসমিক', 'তাসকিয়া', 'দামেস্কের', 'সরিস্কিয়ান', 'সাভিৎস্কি', 'সার্বিয়াকে']
['তাসকিয়া', 'সাকিয়া', 'ঢাকাইয়া', 'ঢাকা', 'সাকারিয়া', 'সইকিয়া', 'সার্বিয়া', 'সার্বিয়া', 'তাজকিয়া', 'শইকিয়া']
['সোফিয়া', 'সোফিয়া', 'দোহা', 'সাফিয়া', 'সেভিয়া', 'সাফিয়া', 'সফিয়া', 'সাভা', 'শাফিয়া', 'সোফিয়াকে']
['সার্বিয়ান', 'সার্বিয়া', 'সার্বিয়া', 'সার্বিয়ার', 'সার্বিয়ান', 'সার্বিয়', 'সার্বিয়াকে', 'সার্বিয়াকে', 'সার্বিয়ার', 'ডেবিয়ান']
['সার্বিয়াকে', 'সার্বিয়াকে', 'সার্বিয়ায়', 'সার্বিয়া', 'সার্বিয়া', 'সার্বিয়াতে', 'সার্বিয়ার', 'সার্বিয়', 'দুশানবে', 'সার্বিয়ার']
['সুফিয়া', 'সুফিয়া', 'সুফিয়ানা', 'সুফিয়ান', 'সোফিয়া', 'সোফিয়া', 'সাফিয়া', 'সাফিয়া', 'সুফি', 'সুফিয়ান']
['', '', '', '', '', '', '', '', '', '']
['সার্বিয়া', 'সার্বিয়া', 'জরস্ট্রিয়ান', 'সার্বিয়াকে', 'সার্বিয়াকে', 'জর্জটাউন', 'সার্বিয়ান', 'সার্বিয়ার', 'সার্বিয়ায়', 'সার্বিয়ান']
['হানিয়া', 'হ্যানয়', 'হানিয়া', 'হ্যানয়', 'হানানিয়া', 'সাঁইথিয়া', 'হ্যানয়ে', 'সোনিয়া', 'হ্যানয়ের', 'সনিয়া']
['শরিয়া', 'শরিয়া', 'সার্বিয়াকে', 'সার্বিয়াকে', 'সার্বিয়া', 'হারুয়া', 'সার্বিয়ায়', 'সার্বিয়া', 'সিরিয়ায়', 'শাহরিয়া']
['সাভানা', 'হাভানা', 'হাভানায়', 'সারাভিয়া', 'সাভানাহ', 'সেভিয়া', 'সারাভাইয়া', 'সাভা', 'সেভিয়া', 'সার্বিয়া']
['সরিস্কিয়া', 'শিনছুজিয়া', 'সাভিৎস্কি', 'সার্বিয়া', 'সার্বিয়া', 'সরিস্কিয়ান', 'শুশুনিয়া', 'হিসপানিয়া', 'শিনিচি', 'সার্বিয়াকে']
['সার্বিয়া', 'সার্বিয়া', 'সার্বিয়াকে', 'সার্বিয়াকে', 'ইসলামাবাদ', 'ইসলামাবাদের', 'সার্বিয়ার', 'সার্বিয়ায়', 'ইস্যাবো', 'সৌদিয়া']
['সাকারিয়া', 'জাকারিয়া', 'জাকারিয়া', 'সুতারিয়া', 'শাজিয়া', 'সাকিয়া', 'জাকিয়া', 'সার্বিয়া', 'সার্বিয়া', 'জাকিয়া']
['সার্বিয়া', 'কার্বি', 'সার্বিয়া', 'সার্বিয়াকে', 'কিউবায়', 'সার্বিয়াকে', 'কিউবায়', 'কিউবীয়', 'কিউবা', 'কারবি']
['কাম্বিয়া', 'কাম্পানিয়া', 'কাম্পুচিয়া', 'কাম্পালা', 'সার্বিয়া', 'সার্বিয়া', 'কাপাসিয়া', 'কাপাসিয়া', 'জাম্বিয়া', 'জাম্বিয়া']
['কাম্পানিয়া', 'কাঠুয়া', 'সার্বিয়া', 'সার্বিয়া', 'কাশিয়ানী', 'কাঠিন্য', 'কাম্বিয়া', 'শাক্যমুনি', 'কাদম্বিনী', 'কাঠমান্ডু']
