['অলীক', 'ভক্ষ্য', 'অলঙ্কৃতা', 'উল্লুক', 'ভবিষ্য', 'ভবিষ্যৎ', 'উল্লেখজনক', 'ভবপ্রীতানন্দ', 'অভেদ্য', 'ফলশ্রুতি']
['প্রসারণ', 'প্রসারতার', 'ক্রীড়ার', 'প্রসারন', 'আঁচলের', 'ক্রীড়ায়', 'প্রবচনের', 'প্রসারণে', 'প্রস্রবণ', 'কক্ষভাড়া']
['বক্তা', 'বক্তাই', 'বক্র', 'বক্তার', 'বক্রের', 'বক্তাবলী', 'বক্তাকে', 'বক্কার', 'বক্তিয়ার', 'বক্তারপুর']
['প্রারম্ভ', 'প্রারাম্ভ', 'প্রেসমাড', 'প্রাইম', 'প্রারম্ভে', 'প্রিয়ার', 'প্রম্পট', 'প্রাইমাস', 'প্রেইজ', 'প্রয়াসের']
['ভূমিকা', 'ভূমিকাও', 'ভূমিকার', 'ভূমিকায়', 'ভূমিকায়', 'ভূমিকাই', 'ভূমিকাকে', 'ভুমিকা', 'ভূমিকাগুলি', 'ভূমিকাতে']
['মৌখিক', 'মাশরিক', 'তরিকায়', 'নৈশকোচের', 'ধানকল', 'ধানবাদ', 'মহান্তি', 'ধানুশের', 'ধানখেতের', 'ধামকি']
['দূরে', 'দূরের', 'দূরেও', 'দূরেই', 'দূরত্বেই', 'দূর', 'দূরত্বেও', 'দূরই', 'দূরত্বে', 'দূরহ']
['ভিতরে', 'ভিতরের', 'ভিতরেই', 'ভিতর', 'ভেতরের', 'ভেতরে', 'ভিতরগড়', 'ভেতরই', 'ভেতরেই', 'ভিতরেও']
['আঁধার', 'আঁধারের', 'আঁটির', 'টেঁটা', 'আঁশের', 'আঁচলের', 'লাগাতে', 'তটরেখা', 'আঁচের', 'ধাঁচে']
['অনেক', 'অনেকগুণ', 'অনেকর', 'অনেকটুকু', 'অনেকটা', 'অনেকটাই', 'অনেকাংশ', 'অনেকরকম', 'অনেকটি', 'অনেকখানি']
['ডান', 'ডানাই', 'ডানা', 'ডানাং', 'ডানি', 'দ্বাং', 'দেন', 'দ্বেন', 'তুন্ড', 'ডান্ডা']
['তরুণ', 'তরুণই', 'তরুণতম', 'তারুণ্যকে', 'তরুণের', 'তারুণ্যের', 'তরুণটির', 'যুবতী', 'তরুন', 'তরুণটি']
['অতীত', 'অতীতের', 'অতীব', 'অতীতকে', 'অতীতেও', 'অতীতও', 'অতীন', 'অতীবাহিত', 'অতীতে', 'অতীতেই']
['অলীক', 'মালচা', 'নরঘাতক', 'অগপ', 'অজৈব', 'অতলান্তিক', 'দোষী', 'নারদ', 'রেচক', 'মদুনাঘাট']
['আকর্ষণ', 'আকর্ষণী', 'আকর্ষণের', 'আকর্ষণে', 'আকর্ষণই', 'আকর্ষণকে', 'আকর্ষক', 'আকর্ষনের', 'আকর্ষণকারী', 'বিষণ্ণ']
['আগমন', 'আগমণ', 'আগমণের', 'আগমনের', 'আগমনে', 'আগমনী', 'আগোত', 'আগমনকে', 'পৌঁছানর', 'পৌঁছয়']
['আজ', 'আজকে', 'এদিন', 'আজকের', 'আজকেও', 'আজকালের', 'আজকাল', 'আজকেই', 'আইদিন', 'এদিনই']
['আদি', 'হাত্তি', 'ইদুর', 'মাজী', 'হুতি', 'আওকি', 'এইডি', 'ইডি', 'ইদি', 'মাগদি']
['আবশ্যক', 'বালাপাড়া', 'নারদ', 'নিপুণতা', 'মকছেদ', 'ভেণ্যু', 'মালচা', 'শৰ্মা', 'অণ্ডকোষ', 'হিরণ্ময়']
['মালখানা', 'মকছেদ', 'মালচা', 'বোলার', 'ভুঁইয়া', 'মালখান', 'তোড়', 'ধলাকোমর', 'ভেণ্যু', 'খোঁচার']
['আলো', 'খোঁচার', 'বালাপাড়া', 'বোলার', 'সূঁচালো', 'বালিয়ে', 'মকছেদ', 'বালাজী', 'খোকার', 'বাতিস্ত']
['মালচা', 'মকছেদ', 'খোঁচার', 'ভেণ্যু', 'মালখানা', 'বিষণ্ণ', 'শৰ্মা', 'অষ্ট', 'হিরণ্ময়', 'বোলার']
['ইহকাল', 'অজৈব', 'দৈহিক', 'কুন্তীর', 'অালম', 'অকালের', 'নারদ', 'অণুগত', 'অশুভ', 'হিরণ্ময়']
['উত্তর', 'উত্তরও', 'উত্তরই', 'উত্তরটা', 'উত্তরণ', 'উত্তরেও', 'উত্তরখান', 'উত্তরটি', 'উত্তরটাই', 'উত্তরের']
['', '', '', '', '', '', '', '', '', '']
['উত্থান', 'উত্থানের', 'উতলা', 'উতসব', 'উত্খাত', 'মদুনাঘাট', 'উত্ত', 'মালখানা', 'উত্তাপন', 'মালখান']
['মকছেদ', 'মালখানা', 'মালচা', 'মালায়', 'তোড়', 'তড়িৎ', 'মাচায়', 'তোড়জোড়ে', 'বারাদা', 'ভুঁইয়া']
['অশক্ত', 'নিষ্কাশন', 'অতিবৃষ্টি', 'বদরুদ্দোজা', 'মালখানা', 'ভুতুড়ে', 'শৰ্মা', 'মদুনাঘাট', 'অতলান্তিক', 'নিপুণতা']
['উজান', 'উজানের', 'উসাইন', 'উসেইন', 'উজানে', 'উসমান', 'উজানি', 'উজানী', 'ওশেন', 'উজানির']
['উৎরাই', 'তৎপরতার', 'তৎপরতা', 'উৎরে', 'তৎপরতায়', 'খোঁচার', 'মালখানা', 'তড়িৎ', 'মালচা', 'মাদারণ']
['মদুনাঘাট', 'বিষণ্ণ', 'অতলান্তিক', 'অশক্ত', 'বদরুদ্দীন', 'হৈমবতী', 'অপরাহ্ণ', 'মালচা', 'ধানোয়া', 'অষ্ট']
['', '', '', '', '', '', '', '', '', '']
['মালচা', 'ভুঁই', 'শৰ্মা', 'চিংড়ি', 'ধলাই', 'হুমড়ি', 'মালখানা', 'ঊষা', 'শয্যা', 'খৎনা']
['একাল', 'মালচা', 'বোলার', 'মাংরোল', 'একালের', 'ভুঁই', 'মকছেদ', 'হাত্তি', 'মালখানা', 'ধলাই']
['', '', '', '', '', '', '', '', '', '']
['এখন', 'এখনে', 'এখনের', 'এখনো', 'এখনকার', 'এখনেই', 'এখনি', 'এখনই', 'এখনও', 'বর্তমানে']
['কল্পনা', 'কল্পনাই', 'কল্পনাও', 'কল্পনাকে', 'কল্পনায়', 'কল্পনার', 'কল্পনায়', 'ভাবাদর্শ', 'কল্পনাশক্তি', 'কল্পনারও']
['মাংরোল', 'কুমেরু', 'মাংশল', 'কুমকুমের', 'মাঘী', 'মাঘন', 'মালচা', 'কুমারভাগ', 'মালুকু', 'মাশরুমটির']
['অণ্ডকোষ', 'বিষণ্ণ', 'অভিস্রবণ', 'ভণ্ডামি', 'হস্তমৈথুন', 'মালচা', 'অশক্ত', 'মালখানা', 'অষ্ট', 'শৰ্মা']
['কৃষ্ণাঙ্গ', 'কৃষ্ণাঙ্গদের', 'কালো', 'ধূলিস্যাৎ', 'রঙিন', 'কালুবিতরাণা', 'রঙীন', 'কৃষ্ণচূড়া', 'রঙা', 'কালোটাকা']
['ঘৃণা', 'ঘৃণাবোধ', 'ঘৃণার', 'ঘৃণায়', 'ঘৃণাকে', 'ঘৃণায়', 'ঘৃনা', 'ঘৃণ্য', 'ঘৃণাভরে', 'ঘৃণাও']
['গোপন', 'গোপনের', 'মালচা', 'ঝংকার', 'অরুপ', 'গোপনে', 'হৈল', 'হুংকার', 'ঘনীভূত', 'হুমড়ি']
['ঝংকার', 'মালচা', 'হৈল', 'হুমড়ি', 'গুপ্ত', 'হুংকার', 'কুস্তিগির', 'মাঘন', 'শৰ্মা', 'ভুতুড়ে']
['গ্রহণ', 'অভিশাপ', 'বালাপাড়া', 'মালচা', 'মালখান', 'মালখানা', 'মকছেদ', 'হুংকার', 'রেচক', 'বোলার']
['গ্রাম্য', 'মাংরোল', 'মাঘন', 'মাঘী', 'ঘূর্ণমান', 'মদুনাঘাট', 'মাংশল', 'শৰ্মা', 'গ্রামছাড়া', 'নরঘাতক']
['চলিত', 'মালচা', 'তড়িৎ', 'মালখানা', 'মকছেদ', 'মাচায়', 'ধোপে', 'হৈল', 'খোঁচার', 'তোড়']
['জন্ম', 'জন্মু', 'জন্মায়', 'জন্মের', 'জন্মদান', 'জন্মাত', 'জন্মসনদ', 'জন্মান', 'জন্মই', 'জন্মগত']
['জরিমানা', 'জরিমানার', 'জরিমানাসহ', 'নিষাদ', 'অপলাপ', 'অভিশাপ', 'অভিশাপটা', 'বীভৎস', 'নিষিক্ত', 'নিষাদের']
['জলে', 'জলেতে', 'বালাপাড়া', 'জলজ', 'মকছেদ', 'জলহস্তী', 'জলঢাকা', 'জলঢুপ', 'মালচা', 'বালাজী']
['জোয়ার', 'ঝংকার', 'ভুঁইয়ার', 'মাংরোল', 'ময়লার', 'বোলার', 'মাঘন', 'হুমড়ি', 'হুংকার', 'ধলাকোমর']
['দুর্লভ', 'মালচা', 'বিষণ্ণ', 'দূর্লভ', 'ভূল', 'ভেণ্যু', 'মালাক', 'গোকর্ণ', 'জঘন্য', 'হানিকর']
['তিরস্কার', 'হুংকার', 'ঝংকার', 'বদরুদ্দোজা', 'বিষণ্ণ', 'কেলেঙ্কারির', 'হানাদার', 'নিষ্কাশন', 'হানাদারের', 'মালাক্কার']
['বিষণ্ণ', 'শৰ্মা', 'বোলার', 'মালচা', 'মদুনাঘাট', 'মকছেদ', 'অষ্ট', 'ভেণ্যু', 'তুষ্ট', 'ভূল']
['দিবা', 'মালদা', 'দিবি', 'মালচা', 'দিবালা', 'মকছেদ', 'হাত্তি', 'দাশ', 'বোলার', 'বারাদা']
['দিবস', 'দিবসের', 'দিবর', 'দিনের', 'দিনভর', 'দিনশা', 'দিনমান', 'দিনকার', 'দিবার', 'দিনকর']
['দীর্ঘায়ু', 'মদুনাঘাট', 'দীর্ঘদেহী', 'দীর্ঘপথ', 'দীর্ঘায়িত', 'দীর্ঘায়ু', 'দীর্ঘকায়', 'দীর্ঘাকৃতির', 'দীর্ঘাকার', 'দীর্ঘায়ন']
['দূর', 'দূরে', 'দূরের', 'দূরতম', 'পলাশে', 'বোলার', 'দূর্বার', 'দূরবর্তি', 'খোঁচার', 'দূরই']
['দেনা', 'মালচা', 'মালখানা', 'দেনায়', 'দাতঁ', 'দেন', 'মালখান', 'ধোনী', 'মাচায়', 'মালে']
['নিঃশ্বাস', 'নিঃশ্বাসে', 'নিঃশ্বাসের', 'শ্বাস', 'শ্বাসের', 'শ্বাসন', 'শ্বাসকার্য', 'অসুর', 'ধনরত্ন', 'ভরাতে']
['নির্দিষ্ট', 'নির্দিষ্টতা', 'নির্দিষ্টভাবে', 'নিদিষ্ট', 'নির্ত', 'সুনির্দিষ্ট', 'অনির্দিষ্ট', 'নির্বিশেষ', 'বৈশিষ্ট', 'নির্দ্দিষ্ট']
