['গরিবি', 'গরীবুল্লাহ', 'গরিবপুরের', 'গরিবের', 'গ্রীব', 'গেরী', 'গরিবপুর', 'গরিবুল্লাহ', 'সবুজবাগের', 'বাগদাদীর']
['সোফিয়া', 'সোফিয়া', 'জ্যামাইকা', 'জামিয়া', 'জামিয়া', 'জামেয়া', 'জামাইকা', 'সফিয়া', 'সোফা', 'সুফিয়া']
['জ্যামাইকা', 'জ্যামাইকায়', 'জ্যামাইকায়', 'জামাইকা', 'জ্যামে', 'জ্যামাইকার', 'জামাইকায়', 'জামিয়া', 'জামুকা', 'জ্যামাইকাতে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['পেরু', 'পেরুর', 'পারসনের', 'পেরুকে', 'পেরো', 'পেরির', 'পারপোজ', 'পারভেজ', 'পারস্য', 'পার্সির']
['', '', '', '', '', '', '', '', '', '']
['লন্ডন', 'পেরু', 'পারডন', 'পেরন', 'পেরুর', 'লন্ডনের', 'পেরুকে', 'পেরো', 'পেরনের', 'পুর্ন']
['পার্ণো', 'পেয়ারডু', 'পেরু', 'পারডন', 'পেরো', 'পেরুকে', 'পেরুর', 'পেরোনো', 'পেরুয়া', 'পারওয়ান']
['পেরু', 'পেরুকে', 'পারপোজ', 'পেরো', 'পেরুর', 'পেরেজকে', 'পারুয়া', 'পারসেক', 'পেরকাসা', 'পেরুতে']
['মাদ্রিদ', 'পেরির', 'পেরেকের', 'পেরু', 'পেরুর', 'পেরেজ', 'পেরেজের', 'পেরেজকে', 'পেরি', 'পেয়ারডু']
['মানাগুয়া', 'মানাগুয়ায়', 'পারাগুয়াই', 'পেরুয়া', 'পেরুকে', 'পেরতুয়ান', 'পেরু', 'প্যারাগুয়েকে', 'পেরো', 'পেরুর']
['পেরু', 'পেরো', 'পেরুকে', 'পার্বণ', 'পেরুর', 'পারেক', 'পারার', 'পেরেক', 'পেরি', 'পেরন']
['পেরু', 'পার্লকে', 'পেরো', 'পেরুকে', 'ম্যানিলা', 'পেরুর', 'পারুলকে', 'পেরোলে', 'পেরোন', 'পেরোল']
['পেরু', 'পেরো', 'পারপোজ', 'পেরুকে', 'মাপুতো', 'পেরুর', 'পাকো', 'পিরু', 'প্রো', 'পেরোনো']
['মিনস্ক', 'মিনস্কে', 'পেরু', 'মিনুসিনস্ক', 'পেরেজকে', 'মিনুর', 'পেরেক', 'পেরেকের', 'পেরুকে', 'পেরিস্কোপ']
['মোগাদিশু', 'পারডু', 'মোগাদিশুর', 'পেয়ারডু', 'মোগাদিসুর', 'পেরেজকে', 'মোগাদিসু', 'পেরু', 'পেরেজের', 'পারচেজ']
['মনরোভিয়া', 'মনরোভিয়ার', 'মনরোভিয়ায়', 'পেরুভিয়ান', 'পেরুকে', 'পেরুয়া', 'পেরোলে', 'পেরুতে', 'পেরু', 'পেরো']
['মন্টেভিডিও', 'পেরেন্টহুড', 'পারডিউ', 'পারদর্শিতার', 'পেরু', 'পারদর্শিতা', 'পারিশো', 'পেরেজকে', 'পেরো', 'পেরুকে']
['মস্কো', 'মস্কোর', 'মস্কোয়', 'মস্কোকে', 'মস্কোয়', 'পেরিস্কোপের', 'কোস্কো', 'পেরো', 'পেরুকে', 'পেরু']
['মাস্কাট', 'মাস্কট', 'মাস্কের', 'মাস্কাটে', 'মাস্কেট', 'মাস্কটের', 'মাস্ক', 'মাস্কটে', 'ম্যাসকট', 'মুস্ক']
['নাইরোবি', 'নাইরোবির', 'পেরুর', 'পেরো', 'পেরু', 'পেরুকে', 'নিকোবর', 'নাইকোর', 'নিবরাস', 'পেরোন']
['নাসাউ', 'পেরু', 'পেরেজকে', 'পেরো', 'পেরুকে', 'নাওয়াজ', 'পারপোজ', 'নাভারো', 'নাওয়াজ', 'পারভেজুর']
['', '', '', '', '', '', '', '', '', '']
['নিকোসিয়ার', 'নিকোসিয়া', 'পেরুকে', 'নিক্কো', 'পেরুয়া', 'নিকোসিয়ায়', 'পেরু', 'পেরো', 'নিকো', 'নিকোকে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['পেরো', 'পেরু', 'অসলো', 'পেরুকে', 'পারোর', 'প্রো', 'পেরুর', 'পারার', 'পারিশো', 'পেরোনো']
['অটোয়া', 'পেরু', 'পেরো', 'পেরুকে', 'অটো', 'প্যারো', 'পেরুর', 'পারোর', 'অটোয়া', 'অটোক্যাড']
['', '', '', '', '', '', '', '', '', '']
['প্যারিস', 'পেরু', 'পেরেজ', 'প্যারিসের', 'পেরুকে', 'প্যারিশ', 'পেরুর', 'পেরেকের', 'প্যারিসকে', 'পার্লের']
['', '', '', '', '', '', '', '', '', '']
['কুইটো', 'পেরো', 'কুইন্টো', 'কুইরো', 'পিয়েরো', 'পেরু', 'পেড্রো', 'পেরুর', 'পিকো', 'পেরুকে']
['পেরু', 'পারদ', 'পেরুর', 'পার্বণ', 'পেরুকে', 'পেরেক', 'পেরেজকে', 'পেরির', 'পারুর', 'পারস্য']
['পেরো', 'পেরু', 'পেরুর', 'রিগা', 'পিরু', 'পেরুকে', 'পেরির', 'রিগের', 'রিগন', 'রিগায়']
['পেরু', 'রোম', 'পেরো', 'পেরুর', 'পেরুকে', 'পারেক', 'পেরন', 'পারদ', 'পেরি', 'পেরির']
['', '', '', '', '', '', '', '', '', '']
['সান্তিয়াগো', 'সান্টিয়াগো', 'সান্তিয়াগো', 'সান্তিয়াগোর', 'পার্ণো', 'পেরো', 'পেয়ারডু', 'পার্দো', 'পিয়েরো', 'সান্ড্রো']
['', '', '', '', '', '', '', '', '', '']
['পেরু', 'পেরুকে', 'পেরুর', 'পেরো', 'সোফির', 'সোফিয়া', 'পারভেজুর', 'পারপোজ', 'পারভেজ', 'পার্লকে']
['স্টকহোম', 'পেরু', 'পেরুকে', 'পেরুর', 'পেরো', 'পেরেকের', 'পেরেজকে', 'পেরির', 'স্টোকের', 'পেরেক']
['পেরু', 'পেরুকে', 'পেরুর', 'সুভা', 'পেরো', 'পিরু', 'সুরু', 'পেরুতে', 'পেরুল', 'পারদ']
